year,marital,age,race,rincome,partyid,relig,tvhours
2002,Married,49,White,$20000 - 24999,Not str democrat,Catholic,NA
2002,Married,40,White,$25000 or more,Other party,None,NA
2002,Married,43,White,$25000 or more,Not str republican,Catholic,2
2002,Married,42,White,$25000 or more,Independent,Protestant,1
2002,Married,62,White,$20000 - 24999,Strong republican,Catholic,NA
2002,Married,52,White,$25000 or more,Not str republican,Protestant,2
2002,Married,42,White,$25000 or more,Not str democrat,Catholic,2
2002,Married,60,White,$25000 or more,Strong republican,Catholic,NA
2002,Married,34,Other,$25000 or more,Not str democrat,None,NA
2002,Never married,28,White,$25000 or more,Not str democrat,Catholic,NA
2002,Never married,65,White,Not applicable,Strong democrat,Catholic,NA
2002,Widowed,72,White,Not applicable,Not str republican,Protestant,3
2002,Married,34,White,Not applicable,Not str democrat,Protestant,NA
2002,Married,36,Other,$25000 or more,Strong republican,None,NA
2002,Never married,41,White,Refused,Independent,Catholic,3
2002,Never married,31,Black,$25000 or more,Not str democrat,Christian,NA
2002,Never married,21,White,$25000 or more,Not str republican,Protestant,NA
2002,Never married,57,White,$25000 or more,Independent,Catholic,NA
2002,Widowed,72,White,Not applicable,Independent,None,NA
2002,Married,45,Black,$25000 or more,Not str democrat,Catholic,NA
2002,Married,58,White,Refused,Independent,No answer,NA
2002,Married,34,Black,$25000 or more,Not str democrat,Catholic,NA
2002,Separated,64,Black,$3000 to 3999,Independent,None,4
2002,Married,57,White,Not applicable,"Ind,near rep",Protestant,NA
2002,Married,42,Black,Not applicable,Not str republican,Protestant,3
2002,Separated,55,Black,$25000 or more,Not str democrat,Protestant,NA
2002,Never married,28,Black,Don't know,No answer,Don't know,NA
2002,Widowed,78,White,Not applicable,Strong democrat,Protestant,6
2002,Divorced,26,White,$25000 or more,Other party,Catholic,NA
2002,Married,52,White,$15000 - 19999,"Ind,near dem",Protestant,NA
2002,Divorced,33,White,$15000 - 19999,Other party,Protestant,NA
2002,Divorced,30,White,$20000 - 24999,Not str democrat,Protestant,4
2002,Married,28,White,Not applicable,Strong republican,Protestant,2
2002,Married,34,White,$10000 - 14999,Independent,None,NA
2002,Never married,27,White,$7000 to 7999,"Ind,near rep",Protestant,2
2002,Divorced,42,White,Not applicable,Not str democrat,Catholic,NA
2002,Widowed,74,Black,Not applicable,Independent,Protestant,NA
2002,Married,52,Black,Not applicable,Strong democrat,Protestant,NA
2002,Divorced,37,Black,$6000 to 6999,Strong democrat,Protestant,6
2002,Never married,36,Black,$20000 - 24999,"Ind,near dem",Protestant,NA
2002,Never married,34,Black,$6000 to 6999,Not str democrat,Protestant,NA
2002,Widowed,74,Black,$10000 - 14999,Not str democrat,Protestant,5
2002,Divorced,43,White,Not applicable,Strong democrat,Protestant,NA
2002,Widowed,56,White,$8000 to 9999,"Ind,near dem",None,NA
2002,Never married,27,White,$10000 - 14999,Independent,Protestant,NA
2002,Married,39,White,$25000 or more,Independent,Christian,NA
2002,Never married,51,White,$25000 or more,Not str republican,Catholic,2
2002,Married,34,White,$25000 or more,Strong democrat,Catholic,NA
2002,Separated,23,White,$25000 or more,Not str republican,Catholic,NA
2002,Never married,22,White,$25000 or more,Not str republican,Catholic,2
2002,Widowed,80,White,Not applicable,Not str democrat,Protestant,6
2002,Never married,35,White,$25000 or more,Not str democrat,Buddhism,NA
2002,Divorced,39,White,$25000 or more,Strong republican,Orthodox-christian,NA
2002,Divorced,53,Other,Not applicable,Independent,Christian,NA
2002,Never married,39,White,$25000 or more,Not str democrat,Protestant,1
2002,Separated,27,Other,$25000 or more,"Ind,near dem",Catholic,3
2002,Never married,31,White,$25000 or more,Strong democrat,Catholic,NA
2002,Married,56,White,$25000 or more,Not str republican,Protestant,NA
2002,Married,33,White,$25000 or more,Not str democrat,Catholic,2
2002,Never married,26,White,$8000 to 9999,"Ind,near dem",None,1
2002,Divorced,32,White,$25000 or more,"Ind,near dem",None,NA
2002,Never married,46,White,$25000 or more,Independent,None,NA
2002,Never married,47,White,$25000 or more,Other party,None,0
2002,Married,43,White,$25000 or more,Strong republican,Protestant,NA
2002,Divorced,44,White,$25000 or more,Not str republican,Catholic,NA
2002,Never married,38,White,$1000 to 2999,Not str democrat,Catholic,1
2002,Married,56,White,Not applicable,"Ind,near rep",Catholic,3
2002,Divorced,37,White,$25000 or more,Not str democrat,Catholic,NA
2002,Married,58,White,$25000 or more,Strong democrat,Catholic,NA
2002,Never married,30,White,$25000 or more,Not str republican,Protestant,5
2002,Widowed,88,White,Not applicable,"Ind,near dem",Protestant,NA
2002,Divorced,45,White,$25000 or more,Strong democrat,Protestant,NA
2002,Married,40,White,$25000 or more,Strong republican,Protestant,NA
2002,Never married,19,White,$8000 to 9999,"Ind,near dem",Catholic,2
2002,Married,25,White,$25000 or more,"Ind,near dem",Catholic,1
2002,Married,59,White,$25000 or more,Not str republican,Catholic,NA
2002,Married,38,White,$25000 or more,Not str republican,Protestant,NA
2002,Never married,23,White,Not applicable,"Ind,near rep",Protestant,NA
2002,Married,31,White,$20000 - 24999,Not str democrat,Catholic,NA
2002,Married,34,White,$25000 or more,Not str democrat,Protestant,1
2002,Married,38,White,Not applicable,Not str republican,Protestant,2
2002,Married,76,White,Not applicable,Not str republican,Inter-nondenominational,NA
2002,Married,43,White,Not applicable,"Ind,near dem",Catholic,NA
2002,Never married,53,Black,$20000 - 24999,Not str republican,Catholic,2
2002,Married,46,White,$25000 or more,Not str republican,Catholic,2
2002,Married,40,Black,$25000 or more,Not str democrat,Protestant,NA
2002,Married,50,Black,$25000 or more,Not str democrat,Protestant,2
2002,Separated,34,Black,Not applicable,Strong democrat,Christian,NA
2002,Never married,23,Black,$8000 to 9999,Independent,None,NA
2002,Divorced,44,White,$20000 - 24999,Strong democrat,None,NA
2002,Married,48,White,$15000 - 19999,Not str democrat,Catholic,NA
2002,Never married,44,White,$25000 or more,Not str republican,None,NA
2002,Married,24,White,$25000 or more,Independent,Catholic,NA
2002,Married,39,White,$25000 or more,Not str democrat,Protestant,3
2002,Widowed,81,White,Not applicable,Strong democrat,Catholic,16
2002,Never married,30,White,$25000 or more,"Ind,near dem",None,NA
2002,Never married,33,White,Not applicable,"Ind,near rep",None,NA
2002,Married,38,White,$25000 or more,Strong democrat,None,NA
2002,Widowed,67,White,$4000 to 4999,Strong republican,Protestant,4
2002,Never married,25,White,$3000 to 3999,Not str republican,Christian,NA
2002,Divorced,40,Other,$15000 - 19999,No answer,Moslem/islam,NA
2002,Never married,44,White,$25000 or more,Strong democrat,Protestant,NA
2002,Married,64,White,$25000 or more,Strong republican,Protestant,2
2002,Married,33,White,Not applicable,Not str democrat,None,NA
2002,Never married,35,White,$25000 or more,Not str democrat,None,NA
2002,Married,63,Other,Not applicable,Strong democrat,Catholic,5
2002,Never married,38,White,$25000 or more,Not str republican,Protestant,NA
2002,Never married,24,White,Not applicable,Not str democrat,Christian,1
2002,Divorced,38,White,$25000 or more,Strong republican,Catholic,NA
2002,Never married,21,White,$20000 - 24999,Not str democrat,None,NA
2002,Divorced,51,White,$25000 or more,Not str democrat,None,NA
2002,Divorced,71,White,Not applicable,Not str republican,Protestant,5
2002,Never married,22,Other,$25000 or more,Not str democrat,None,NA
2002,Never married,21,White,$7000 to 7999,Other party,None,8
2002,Never married,21,White,$1000 to 2999,"Ind,near dem",None,NA
2002,Married,84,Other,$5000 to 5999,Strong republican,Catholic,NA
2002,Married,30,Other,$1000 to 2999,Strong democrat,Catholic,NA
2002,Never married,21,Other,Not applicable,Not str democrat,Protestant,2
2002,Married,61,Other,$3000 to 3999,No answer,Catholic,2
2002,Married,75,Other,$15000 - 19999,No answer,Catholic,NA
2002,Married,39,White,$25000 or more,Not str democrat,None,NA
2002,Married,40,White,$15000 - 19999,Not str republican,Protestant,2
2002,Married,61,White,Not applicable,Strong democrat,Catholic,NA
2002,Divorced,59,White,$25000 or more,Independent,None,NA
2002,Married,40,White,Refused,Other party,Other,NA
2002,Married,41,Other,$25000 or more,Not str democrat,Protestant,1
2002,Married,47,White,$20000 - 24999,Not str democrat,Protestant,NA
2002,Married,38,White,$25000 or more,Not str democrat,None,NA
2002,Married,56,White,$25000 or more,"Ind,near rep",None,1
2002,Divorced,38,White,$25000 or more,Not str republican,None,NA
2002,Never married,32,White,$25000 or more,"Ind,near dem",Orthodox-christian,1
2002,Divorced,62,White,$4000 to 4999,Strong republican,Protestant,NA
2002,Married,74,Black,Not applicable,Strong democrat,Protestant,1
2002,Widowed,60,Black,Not applicable,Independent,Protestant,NA
2002,Never married,29,Black,$25000 or more,Not str democrat,Protestant,NA
2002,Never married,42,Black,$25000 or more,Not str democrat,Protestant,NA
2002,Never married,31,Black,$20000 - 24999,Strong democrat,Protestant,1
2002,Married,65,Black,$15000 - 19999,Not str democrat,Protestant,NA
2002,Divorced,81,Black,Not applicable,Strong democrat,Protestant,NA
2002,Married,40,Black,$10000 - 14999,Not str democrat,Protestant,NA
2002,Married,43,White,$8000 to 9999,Strong democrat,Protestant,NA
2002,Married,25,White,$25000 or more,Independent,None,NA
2002,Never married,33,White,Not applicable,Not str democrat,Catholic,6
2002,Married,36,White,$25000 or more,Not str democrat,Protestant,NA
2002,Never married,24,White,Not applicable,Independent,Catholic,NA
2002,Married,53,White,Not applicable,Independent,Protestant,NA
2002,Never married,37,White,$25000 or more,Not str democrat,Protestant,NA
2002,Married,25,White,Refused,Strong democrat,Catholic,4
2002,Married,37,Black,$25000 or more,Independent,Protestant,NA
2002,Never married,40,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Married,29,Black,Lt $1000,Independent,None,NA
2002,Never married,33,Black,$20000 - 24999,Not str democrat,Protestant,5
2002,Divorced,54,Black,$15000 - 19999,Strong democrat,Inter-nondenominational,3
2002,Never married,23,Black,Not applicable,Not str democrat,None,NA
2002,Never married,24,Black,$6000 to 6999,Strong democrat,Protestant,NA
2002,Never married,51,Black,Not applicable,Independent,Protestant,NA
2002,Never married,36,Black,$15000 - 19999,"Ind,near rep",Protestant,10
2002,Never married,31,Black,$6000 to 6999,Independent,Protestant,4
2002,Never married,28,Other,$20000 - 24999,"Ind,near rep",None,NA
2002,Married,23,White,$20000 - 24999,Not str democrat,Protestant,NA
2002,Married,34,White,$25000 or more,Strong democrat,None,3
2002,Divorced,45,White,Refused,Other party,Protestant,1
2002,Married,33,Other,$20000 - 24999,Other party,Christian,NA
2002,Never married,26,Black,Lt $1000,Independent,Catholic,NA
2002,Never married,41,White,$25000 or more,Not str democrat,Protestant,2
2002,Married,48,White,$25000 or more,Independent,Catholic,NA
2002,Married,51,White,$25000 or more,Not str republican,Protestant,NA
2002,Married,45,White,Not applicable,"Ind,near dem",Protestant,NA
2002,Married,51,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Married,52,White,Don't know,Strong republican,Protestant,NA
2002,Widowed,81,White,Not applicable,Strong republican,Protestant,NA
2002,Divorced,39,White,$10000 - 14999,Not str democrat,Catholic,NA
2002,Separated,54,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Widowed,64,White,Not applicable,"Ind,near rep",Protestant,NA
2002,Married,49,Other,$25000 or more,Strong republican,Buddhism,2
2002,Never married,29,Black,$25000 or more,"Ind,near dem",Buddhism,2
2002,Married,33,White,Not applicable,Independent,Catholic,NA
2002,Divorced,66,White,$1000 to 2999,"Ind,near dem",None,NA
2002,Married,65,White,$15000 - 19999,Strong republican,Protestant,4
2002,Divorced,48,White,$25000 or more,Independent,Catholic,1
2002,Married,35,White,$25000 or more,"Ind,near rep",None,NA
2002,Married,47,White,$25000 or more,Not str democrat,Catholic,NA
2002,Married,63,White,Not applicable,Not str republican,Protestant,NA
2002,Married,69,White,Not applicable,Other party,None,2
2002,Never married,51,White,$25000 or more,Not str republican,Protestant,1
2002,Married,32,Other,$25000 or more,Strong democrat,Catholic,NA
2002,Never married,32,White,$25000 or more,Strong democrat,Protestant,NA
2002,Divorced,52,White,$25000 or more,Not str republican,Christian,1
2002,Divorced,30,White,$25000 or more,Not str democrat,Protestant,NA
2002,Never married,38,White,$25000 or more,Not str democrat,Catholic,NA
2002,Never married,19,White,Lt $1000,Not str democrat,Catholic,NA
2002,Married,64,White,$5000 to 5999,Not str republican,Protestant,NA
2002,Divorced,70,White,Not applicable,Strong republican,Protestant,NA
2002,Married,29,White,$25000 or more,Not str republican,Protestant,2
2002,Never married,32,Other,Not applicable,Independent,Catholic,2
2002,Divorced,26,Other,$25000 or more,Not str democrat,Catholic,2
2002,Married,23,Other,$10000 - 14999,Not str republican,Native american,NA
2002,Divorced,47,Other,$15000 - 19999,Not str democrat,Catholic,NA
2002,Divorced,31,White,$25000 or more,Strong democrat,Buddhism,NA
2002,Never married,22,White,$1000 to 2999,"Ind,near rep",None,4
2002,Never married,20,White,Not applicable,Not str republican,None,2
2002,Never married,23,White,$10000 - 14999,"Ind,near rep",None,NA
2002,Never married,34,Black,$25000 or more,Strong democrat,None,NA
2002,Never married,50,White,$10000 - 14999,Not str democrat,Catholic,2
2002,Divorced,44,Black,$25000 or more,Not str democrat,Protestant,4
2002,Married,29,Black,Lt $1000,Independent,Inter-nondenominational,NA
2002,Married,30,Black,$5000 to 5999,Strong democrat,Protestant,NA
2002,Never married,37,White,$25000 or more,"Ind,near dem",None,0
2002,Never married,19,White,$3000 to 3999,"Ind,near rep",None,NA
2002,Never married,20,White,$3000 to 3999,Strong democrat,None,NA
2002,Never married,20,White,Not applicable,Other party,None,NA
2002,Never married,20,White,$15000 - 19999,Independent,None,0
2002,Never married,22,White,Not applicable,Independent,None,NA
2002,Never married,20,White,$1000 to 2999,Not str democrat,None,NA
2002,Married,51,Other,$25000 or more,Strong democrat,None,NA
2002,Never married,21,White,Not applicable,"Ind,near dem",None,0
2002,Married,26,White,Lt $1000,Strong democrat,None,NA
2002,Never married,22,White,Not applicable,"Ind,near dem",None,NA
2002,Never married,51,White,$15000 - 19999,Independent,Protestant,NA
2002,Divorced,36,Other,$10000 - 14999,Independent,Catholic,2
2002,Never married,22,Other,$5000 to 5999,"Ind,near dem",None,2
2002,Never married,26,White,$20000 - 24999,"Ind,near dem",Protestant,NA
2002,Never married,25,White,$10000 - 14999,Not str democrat,Protestant,NA
2002,Divorced,52,White,$25000 or more,Strong democrat,Protestant,NA
2002,Married,46,Black,$25000 or more,Not str democrat,Catholic,NA
2002,Divorced,61,White,$25000 or more,"Ind,near dem",None,NA
2002,Never married,25,White,$10000 - 14999,Not str republican,Protestant,NA
2002,Married,73,White,$3000 to 3999,Not str democrat,Catholic,NA
2002,Never married,27,White,$15000 - 19999,Strong republican,Catholic,2
2002,Married,33,Black,$8000 to 9999,Independent,Protestant,3
2002,Never married,39,Black,$10000 - 14999,"Ind,near rep",Protestant,NA
2002,Never married,41,Black,Not applicable,Independent,Protestant,NA
2002,Never married,24,Black,Not applicable,Strong democrat,Protestant,3
2002,Widowed,54,Black,Not applicable,Strong democrat,Protestant,NA
2002,Never married,27,Black,$4000 to 4999,Independent,Protestant,NA
2002,Never married,44,Black,$10000 - 14999,Not str democrat,Protestant,6
2002,Divorced,62,Black,Not applicable,Independent,Protestant,4
2002,Divorced,35,White,$25000 or more,Other party,Christian,NA
2002,Never married,20,White,$1000 to 2999,Strong democrat,None,NA
2002,Married,23,White,Refused,"Ind,near dem",Protestant,NA
2002,Never married,39,White,$25000 or more,"Ind,near rep",Protestant,NA
2002,Never married,50,White,$25000 or more,Strong republican,Catholic,2
2002,Married,32,White,$20000 - 24999,Independent,Protestant,3
2002,Divorced,44,White,$25000 or more,Not str democrat,Catholic,NA
2002,Widowed,65,White,$15000 - 19999,"Ind,near rep",Catholic,NA
2002,Widowed,66,Black,Not applicable,Strong democrat,Protestant,8
2002,Divorced,38,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Married,54,Other,$25000 or more,Independent,Moslem/islam,1
2002,Married,44,White,$25000 or more,Not str republican,Protestant,8
2002,Divorced,61,White,$25000 or more,"Ind,near rep",None,NA
2002,Never married,48,White,$20000 - 24999,Strong republican,Catholic,NA
2002,Divorced,46,White,$25000 or more,Strong republican,Protestant,NA
2002,Never married,23,White,Not applicable,Not str republican,None,NA
2002,Never married,24,White,$5000 to 5999,"Ind,near rep",Protestant,NA
2002,Married,37,Black,Refused,Independent,No answer,NA
2002,Married,63,White,$6000 to 6999,Not str democrat,Protestant,NA
2002,Married,43,White,$3000 to 3999,Strong republican,Protestant,NA
2002,Married,37,White,$25000 or more,Not str republican,None,2
2002,Married,61,White,$25000 or more,Strong republican,Protestant,2
2002,Married,45,White,Don't know,Not str republican,Protestant,NA
2002,Married,43,White,$10000 - 14999,Strong republican,Protestant,NA
2002,Married,51,White,$25000 or more,Strong republican,Protestant,1
2002,Divorced,45,White,Not applicable,Strong republican,Protestant,1
2002,Married,46,White,$25000 or more,Independent,Protestant,NA
2002,Divorced,56,White,$25000 or more,Not str democrat,Protestant,NA
2002,Widowed,43,White,Don't know,Independent,Protestant,NA
2002,Married,73,White,Not applicable,"Ind,near dem",Protestant,3
2002,Widowed,46,White,Not applicable,Independent,Protestant,NA
2002,Married,51,Other,Don't know,Not str democrat,Protestant,NA
2002,Married,44,White,Not applicable,Independent,Protestant,5
2002,Married,50,White,$25000 or more,Not str republican,Catholic,NA
2002,Married,48,White,$25000 or more,"Ind,near dem",Protestant,NA
2002,Separated,24,Black,$4000 to 4999,Independent,Protestant,NA
2002,Never married,52,White,$25000 or more,"Ind,near dem",Protestant,4
2002,Divorced,43,White,Not applicable,Independent,None,NA
2002,Married,38,White,$25000 or more,Not str republican,Protestant,NA
2002,Divorced,65,White,$25000 or more,Not str democrat,Catholic,0
2002,Married,33,White,$25000 or more,Strong republican,Protestant,NA
2002,Divorced,57,White,$25000 or more,"Ind,near dem",Protestant,2
2002,Divorced,33,White,$25000 or more,Not str democrat,None,NA
2002,Never married,24,White,No answer,Independent,None,NA
2002,Married,52,White,$20000 - 24999,"Ind,near rep",Christian,NA
2002,Married,32,White,$25000 or more,Not str republican,Protestant,3
2002,Married,84,White,Not applicable,Independent,Protestant,NA
2002,Widowed,74,White,Not applicable,Not str democrat,Protestant,NA
2002,Widowed,71,White,$8000 to 9999,Independent,Protestant,3
2002,Widowed,81,White,Not applicable,Not str democrat,Protestant,NA
2002,Never married,28,White,$20000 - 24999,Not str democrat,Protestant,NA
2002,Never married,41,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Married,53,White,$25000 or more,Not str republican,Protestant,NA
2002,Divorced,44,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Married,44,White,Not applicable,Not str republican,Catholic,1
2002,Married,54,White,$5000 to 5999,"Ind,near rep",None,NA
2002,Married,56,White,$25000 or more,Strong republican,Catholic,2
2002,Married,76,White,Not applicable,Strong republican,Protestant,NA
2002,Married,43,White,$25000 or more,Not str republican,Protestant,NA
2002,Married,49,White,$25000 or more,Strong republican,Protestant,NA
2002,Married,42,White,$25000 or more,Independent,None,1
2002,Married,45,White,Not applicable,"Ind,near rep",Protestant,NA
2002,Married,49,White,$5000 to 5999,Not str republican,Protestant,NA
2002,Married,49,White,Not applicable,Strong republican,Protestant,3
2002,Married,39,White,$25000 or more,Not str republican,Protestant,1
2002,Married,53,White,Not applicable,"Ind,near rep",Catholic,NA
2002,Divorced,64,Other,$25000 or more,Strong democrat,Protestant,NA
2002,Married,43,White,Not applicable,Strong republican,Protestant,NA
2002,Never married,22,Other,$1000 to 2999,Independent,Buddhism,1
2002,Divorced,38,White,$25000 or more,Not str democrat,Protestant,1
2002,Married,64,White,Not applicable,Strong republican,Protestant,NA
2002,Never married,27,White,$25000 or more,"Ind,near dem",None,NA
2002,Married,39,White,$25000 or more,"Ind,near dem",Protestant,NA
2002,Married,60,White,$25000 or more,Strong republican,Protestant,3
2002,Divorced,69,White,$25000 or more,Not str democrat,Protestant,NA
2002,Married,31,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Married,36,White,$25000 or more,Not str republican,Protestant,NA
2002,Married,24,Black,$20000 - 24999,Not str democrat,Inter-nondenominational,NA
2002,Married,52,Black,Refused,Independent,Protestant,2
2002,Married,53,Black,$10000 - 14999,Not str democrat,Protestant,3
2002,Married,52,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Divorced,51,Black,$20000 - 24999,Not str democrat,Protestant,NA
2002,Separated,53,Black,Not applicable,Strong democrat,Protestant,1
2002,Separated,25,Black,$10000 - 14999,Independent,Protestant,2
2002,Never married,32,Black,$15000 - 19999,Independent,Catholic,NA
2002,Married,36,Black,$8000 to 9999,Strong democrat,Protestant,NA
2002,Never married,27,White,$25000 or more,Strong republican,Protestant,2
2002,Never married,36,Black,Not applicable,Independent,Protestant,NA
2002,Married,69,Other,Not applicable,"Ind,near dem",Protestant,NA
2002,Married,80,White,Not applicable,Strong democrat,Jewish,3
2002,Married,83,Other,Not applicable,Not str democrat,None,NA
2002,Widowed,59,White,Not applicable,Independent,Protestant,NA
2002,Married,74,White,Not applicable,"Ind,near rep",Protestant,4
2002,Married,46,White,$25000 or more,Independent,Catholic,NA
2002,Divorced,63,White,$25000 or more,Strong republican,Catholic,NA
2002,Divorced,56,White,$25000 or more,Strong democrat,None,0
2002,Never married,25,Other,Lt $1000,Strong democrat,Protestant,1
2002,Never married,56,White,$25000 or more,Not str democrat,None,NA
2002,Married,38,White,$25000 or more,Not str democrat,Jewish,NA
2002,Never married,31,White,$25000 or more,Not str democrat,Jewish,NA
2002,Married,32,White,$25000 or more,Not str democrat,Jewish,2
2002,Married,32,White,Not applicable,Not str democrat,None,NA
2002,Never married,51,White,$25000 or more,"Ind,near dem",Catholic,NA
2002,Married,82,White,Not applicable,Not str republican,Protestant,5
2002,Married,76,White,Not applicable,"Ind,near rep",Catholic,NA
2002,Married,51,White,$25000 or more,"Ind,near rep",Catholic,NA
2002,Never married,62,White,$15000 - 19999,Strong democrat,Catholic,3
2002,Divorced,55,White,$25000 or more,Not str democrat,Catholic,1
2002,Married,47,White,Not applicable,"Ind,near dem",Protestant,NA
2002,Never married,38,White,$6000 to 6999,"Ind,near rep",Protestant,NA
2002,Married,55,White,$25000 or more,"Ind,near rep",Catholic,2
2002,Married,49,White,$3000 to 3999,Strong democrat,None,1
2002,Widowed,60,White,Not applicable,"Ind,near dem",None,NA
2002,Married,48,White,$10000 - 14999,"Ind,near rep",Catholic,3
2002,Married,53,White,$8000 to 9999,Strong republican,Protestant,NA
2002,Married,46,White,$15000 - 19999,Strong democrat,Catholic,NA
2002,Married,53,White,$25000 or more,"Ind,near rep",Catholic,NA
2002,Married,44,White,$25000 or more,"Ind,near dem",Catholic,NA
2002,Never married,33,Black,Don't know,Strong democrat,Protestant,3
2002,Divorced,54,Black,Not applicable,Strong democrat,Protestant,8
2002,Never married,35,Black,$25000 or more,Not str republican,Protestant,1
2002,Never married,18,Black,Not applicable,Strong democrat,None,NA
2002,Married,61,Black,Refused,Strong democrat,Protestant,NA
2002,Never married,55,White,$25000 or more,"Ind,near rep",Protestant,NA
2002,Married,30,White,Not applicable,Strong republican,Catholic,NA
2002,Married,22,Other,Not applicable,Independent,Hinduism,1
2002,Divorced,52,Other,$15000 - 19999,Not str democrat,None,NA
2002,Divorced,45,White,$25000 or more,Independent,Catholic,NA
2002,Married,33,Other,$25000 or more,Not str democrat,Catholic,NA
2002,Married,35,White,$25000 or more,Independent,Orthodox-christian,NA
2002,Divorced,51,White,$25000 or more,"Ind,near dem",Catholic,1
2002,Never married,27,Black,$20000 - 24999,Independent,Protestant,NA
2002,Married,42,Black,Refused,Strong democrat,Protestant,NA
2002,Never married,25,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Married,50,Black,Refused,Independent,Protestant,3
2002,Never married,29,Black,$25000 or more,"Ind,near dem",Protestant,1
2002,Never married,35,Black,Not applicable,Independent,None,NA
2002,Never married,25,Black,$25000 or more,Independent,Protestant,NA
2002,Never married,49,Black,$25000 or more,Strong democrat,Protestant,NA
2002,Divorced,71,White,$25000 or more,Strong republican,Catholic,NA
2002,Never married,30,White,Not applicable,Not str republican,Catholic,NA
2002,Married,39,Other,$25000 or more,Not str republican,Hinduism,2
2002,Never married,38,Other,$25000 or more,"Ind,near rep",Catholic,NA
2002,Widowed,77,White,Not applicable,Not str democrat,Protestant,NA
2002,Separated,73,Black,Not applicable,Strong democrat,Christian,NA
2002,Widowed,84,White,Not applicable,Strong democrat,Catholic,NA
2002,Married,33,White,$25000 or more,Not str democrat,Protestant,NA
2002,Married,54,White,Refused,"Ind,near rep",Protestant,NA
2002,Never married,31,White,$25000 or more,Strong democrat,Catholic,NA
2002,Married,55,White,$25000 or more,Strong republican,Protestant,1
2002,Never married,53,White,$25000 or more,Independent,None,3
2002,Never married,54,White,$25000 or more,Strong democrat,Other,NA
2002,Divorced,52,Black,$25000 or more,"Ind,near rep",Other eastern,NA
2002,Never married,29,White,Refused,Strong democrat,Protestant,1
2002,Divorced,34,Black,Not applicable,Not str democrat,Protestant,NA
2002,Never married,28,Black,$15000 - 19999,Strong democrat,Orthodox-christian,1
2002,Divorced,59,Black,Not applicable,Strong democrat,Protestant,NA
2002,Never married,NA,White,$25000 or more,Not str democrat,Catholic,NA
2002,Married,64,White,$5000 to 5999,Not str democrat,Christian,1
2002,Married,68,White,Lt $1000,Strong republican,Protestant,NA
2002,Married,67,White,$10000 - 14999,Not str republican,Protestant,NA
2002,Separated,56,White,Not applicable,Not str democrat,Protestant,3
2002,Never married,19,White,Refused,"Ind,near rep",Protestant,1
2002,Married,71,Black,Not applicable,Strong democrat,Protestant,8
2002,Divorced,64,White,$25000 or more,"Ind,near dem",Protestant,NA
2002,Divorced,58,White,Not applicable,Independent,Protestant,NA
2002,Divorced,84,White,Not applicable,Not str democrat,Protestant,5
2002,Married,29,Black,$1000 to 2999,Strong democrat,Inter-nondenominational,NA
2002,Married,70,Black,$7000 to 7999,Not str democrat,Protestant,NA
2002,Widowed,89,Black,Not applicable,Independent,Protestant,0
2002,Married,59,Black,$10000 - 14999,Not str democrat,Protestant,NA
2002,Widowed,85,Black,Not applicable,"Ind,near dem",Protestant,NA
2002,Divorced,39,Other,$15000 - 19999,Not str democrat,Other,2
2002,Married,50,White,$25000 or more,"Ind,near rep",Protestant,NA
2002,Never married,37,White,$15000 - 19999,Not str republican,Protestant,NA
2002,Never married,25,White,$25000 or more,Strong democrat,Protestant,NA
2002,Married,37,Other,$20000 - 24999,"Ind,near dem",Native american,NA
2002,Never married,30,White,Not applicable,"Ind,near dem",None,2
2002,Never married,32,Other,$25000 or more,Not str democrat,Native american,NA
2002,Married,41,White,$20000 - 24999,Independent,Protestant,NA
2002,Divorced,34,White,$5000 to 5999,Other party,Protestant,NA
2002,Divorced,47,White,$25000 or more,Independent,Protestant,NA
2002,Never married,28,White,$1000 to 2999,Independent,None,NA
2002,Married,50,White,$25000 or more,Strong democrat,None,NA
2002,Married,59,White,$25000 or more,"Ind,near rep",Protestant,2
2002,Married,30,White,Not applicable,Strong republican,Protestant,NA
2002,Married,46,White,Lt $1000,Other party,None,NA
2002,Married,40,White,$25000 or more,Strong democrat,Protestant,NA
2002,Married,56,White,$25000 or more,Strong republican,None,NA
2002,Married,68,White,Not applicable,"Ind,near rep",Protestant,NA
2002,Married,58,White,Not applicable,Not str republican,Catholic,4
2002,Married,45,White,Not applicable,Not str republican,Protestant,NA
2002,Married,41,White,$20000 - 24999,Strong republican,Protestant,NA
2002,Married,30,White,$25000 or more,Not str republican,Catholic,3
2002,Married,41,White,$25000 or more,Not str republican,Protestant,2
2002,Married,60,White,Not applicable,Not str republican,Protestant,NA
2002,Married,57,White,$25000 or more,Not str republican,Protestant,NA
2002,Never married,20,White,Lt $1000,Other party,None,2
2002,Separated,47,White,$25000 or more,"Ind,near dem",Other,NA
2002,Divorced,47,White,Not applicable,"Ind,near dem",Catholic,NA
